jx,alpha,beta,result
1E+11,0.005,0,success
1E+11,0.005,0.01,success
1E+11,0.005,0.02,success
1E+11,0.005,0.04,fail
1E+11,0.005,0.08,fail
1E+11,0.005,0.12,fail
1E+11,0.005,0.2,fail
1E+11,0.005,0.3,fail
1E+11,0.01,0,success
1E+11,0.01,0.01,success
1E+11,0.01,0.02,success
1E+11,0.01,0.04,fail
1E+11,0.01,0.08,fail
1E+11,0.01,0.12,fail
1E+11,0.01,0.2,fail
1E+11,0.01,0.3,fail
1E+11,0.02,0,fail
1E+11,0.02,0.01,success
1E+11,0.02,0.02,success
1E+11,0.02,0.04,success
1E+11,0.02,0.08,fail
1E+11,0.02,0.12,fail
1E+11,0.02,0.2,fail
1E+11,0.02,0.3,fail
1E+11,0.04,0,fail
1E+11,0.04,0.01,fail
1E+11,0.04,0.02,success
1E+11,0.04,0.04,success
1E+11,0.04,0.08,fail
1E+11,0.04,0.12,fail
1E+11,0.04,0.2,fail
1E+11,0.04,0.3,fail
1E+11,0.08,0,fail
1E+11,0.08,0.01,fail
1E+11,0.08,0.02,fail
1E+11,0.08,0.04,fail
1E+11,0.08,0.08,success
1E+11,0.08,0.12,fail
1E+11,0.08,0.2,fail
1E+11,0.08,0.3,fail
1E+11,0.16,0,fail
1E+11,0.16,0.01,fail
1E+11,0.16,0.02,fail
1E+11,0.16,0.04,fail
1E+11,0.16,0.08,fail
1E+11,0.16,0.12,fail
1E+11,0.16,0.2,fail
1E+11,0.16,0.3,fail
1E+11,0.25,0,fail
1E+11,0.25,0.01,fail
1E+11,0.25,0.02,fail
1E+11,0.25,0.04,fail
1E+11,0.25,0.08,fail
1E+11,0.25,0.12,fail
1E+11,0.25,0.2,fail
1E+11,0.25,0.3,fail
1E+12,0.005,0,success
1E+12,0.005,0.01,success
1E+12,0.005,0.02,success
1E+12,0.005,0.04,fail
1E+12,0.005,0.08,fail
1E+12,0.005,0.12,fail
1E+12,0.005,0.2,fail
1E+12,0.005,0.3,fail
1E+12,0.01,0,success
1E+12,0.01,0.01,success
1E+12,0.01,0.02,success
1E+12,0.01,0.04,fail
1E+12,0.01,0.08,fail
1E+12,0.01,0.12,fail
1E+12,0.01,0.2,fail
1E+12,0.01,0.3,fail
1E+12,0.02,0,success
1E+12,0.02,0.01,success
1E+12,0.02,0.02,success
1E+12,0.02,0.04,success
1E+12,0.02,0.08,fail
1E+12,0.02,0.12,fail
1E+12,0.02,0.2,fail
1E+12,0.02,0.3,fail
1E+12,0.04,0,fail
1E+12,0.04,0.01,fail
1E+12,0.04,0.02,success
1E+12,0.04,0.04,success
1E+12,0.04,0.08,fail
1E+12,0.04,0.12,fail
1E+12,0.04,0.2,fail
1E+12,0.04,0.3,fail
1E+12,0.08,0,fail
1E+12,0.08,0.01,fail
1E+12,0.08,0.02,fail
1E+12,0.08,0.04,fail
1E+12,0.08,0.08,success
1E+12,0.08,0.12,fail
1E+12,0.08,0.2,fail
1E+12,0.08,0.3,fail
1E+12,0.16,0,fail
1E+12,0.16,0.01,fail
1E+12,0.16,0.02,fail
1E+12,0.16,0.04,fail
1E+12,0.16,0.08,fail
1E+12,0.16,0.12,fail
1E+12,0.16,0.2,fail
1E+12,0.16,0.3,fail
1E+12,0.25,0,fail
1E+12,0.25,0.01,fail
1E+12,0.25,0.02,fail
1E+12,0.25,0.04,fail
1E+12,0.25,0.08,fail
1E+12,0.25,0.12,fail
1E+12,0.25,0.2,fail
1E+12,0.25,0.3,fail
30000000000,0.005,0,success
30000000000,0.005,0.01,success
30000000000,0.005,0.02,success
30000000000,0.005,0.04,fail
30000000000,0.005,0.08,fail
30000000000,0.005,0.12,fail
30000000000,0.005,0.2,fail
30000000000,0.005,0.3,fail
30000000000,0.01,0,success
30000000000,0.01,0.01,success
30000000000,0.01,0.02,success
30000000000,0.01,0.04,fail
